C(65,5,3) = 4368
Created by: Tung Le
Method of Construction: group theory
Lower Bound: Schonheim


  1  2  3 34 63
  1  2  4 21 52
  1  2  5 54 58
  1  2  6 14 51
  1  2  7 33 45
  1  2  8 29 62
  1  2  9 37 59
  1  2 10 25 49
  1  2 11 38 41
  1  2 12 27 28
  1  2 13 17 43
  1  2 15 42 47
  1  2 16 19 50
  1  2 18 39 64
  1  2 20 22 57
  1  2 23 26 55
  1  2 24 31 40
  1  2 30 35 65
  1  2 32 46 56
  1  2 36 48 53
  1  2 44 60 61
  1  3  4 16 41
  1  3  5 25 57
  1  3  6 24 42
  1  3  7 39 60
  1  3  8 21 50
  1  3  9 27 30
  1  3 10 43 54
  1  3 11 52 62
  1  3 12 53 65
  1  3 13 20 58
  1  3 14 31 56
  1  3 15 32 51
  1  3 17 22 49
  1  3 18 33 55
  1  3 19 29 38
  1  3 23 44 64
  1  3 26 45 61
  1  3 28 36 59
  1  3 35 37 48
  1  3 40 46 47
  1  4  5 40 60
  1  4  6 22 59
  1  4  7  9 57
  1  4  8 34 38
  1  4 10 55 56
  1  4 11 29 50
  1  4 12 26 32
  1  4 13 15 65
  1  4 14 33 37
  1  4 17 42 64
  1  4 18 35 43
  1  4 19 62 63
  1  4 20 45 51
  1  4 23 28 49
  1  4 24 36 44
  1  4 25 27 46
  1  4 30 39 47
  1  4 31 48 54
  1  4 53 58 61
  1  5  6 12 18
  1  5  7 30 46
  1  5  8 33 65
  1  5  9 16 47
  1  5 10 17 20
  1  5 11 51 64
  1  5 13 34 49
  1  5 14 28 38
  1  5 15 23 37
  1  5 19 26 59
  1  5 21 24 53
  1  5 22 43 63
  1  5 27 39 41
  1  5 29 45 56
  1  5 31 36 61
  1  5 32 35 62
  1  5 42 50 55
  1  5 44 48 52
  1  6  7 20 37
  1  6  8 53 55
  1  6  9 45 52
  1  6 10 30 61
  1  6 11 27 54
  1  6 13 29 48
  1  6 15 31 46
  1  6 16 44 49
